Title,Activity Type,Description,Rating,Reviews,Phone,WhatsApp,Instagram,Facebook,Industry,Address,Website,Image,Amenities,Latitude,Longitude,Google Maps Link
JAYVEN KAYAK RENTAL (kayaking El nido),Kayak & Canoe Rental,Friendly local kayak rentals at honest prices - grab a paddle and discover El Nido's coastline on your own terms.,5.0,(174),951 295 2114,https://wa.me/9512952114,,,Canoe & kayak rental service,0951 295 2114,,,,11.1697262,119.3945039,
Buhay Isla Ecotour - El Nido,Tour Operator / Ecotour,"Top-rated ecotours that put nature, community, and unforgettable island stops at the center of every trip.",5.0,"(3,068)",939 936 2095,https://wa.me/9399362095,https://www.instagram.com/buhayislaecotour,https://www.facebook.com/buhayislaecotour,Tour operator,0939 936 2095,https://www.buhayisla.com/,,,11.1624448,119.3988068,
Yaica view,Scenic Viewpoint,A quiet hilltop lookout serving up sweeping El Nido views - locals' favorite for sunset selfies without the crowds.,5.0,(2),,,,,,,,,,11.1452522,119.3950236,
Corong Corong Pier,Pier / Departure Point,The launchpad for sunset cruises and southbound boats - a working pier with that golden-hour magic.,4.2,(13),,,,,,,,,Restaurant,11.1693322,119.3939712,
Hayahay Adventures El Nido,Tour Agency,Laid-back island hopping and adventure tours with a friendly crew that treats every guest like family.,4.7,(31),968 853 4423,https://wa.me/9688534423,,https://www.facebook.com/hayahayadventureselnido/,Tour agency,0968 853 4423,https://www.hayahayadventures.com/,,,11.1633929,119.3985498,
Beach View Lane,Scenic Viewpoint,"A breezy little lane with a million-dollar view of the bay - quick stop, big payoff.",4.0,(1),,,,,,,,,,11.1632454,119.3973521,
El Nido Beach,Beach / Natural Attraction,"El Nido's main strip of sand - boats bobbing, bars buzzing, and the iconic Cadlao Island looming straight ahead.",4.4,(933),,,,,,,,,"Restaurant, Kitchen",11.1811279,119.3904002,
Mango Tiger Philippines,Local Attraction,"A quirky local stop that locals quietly love - small but charming, exactly the kind of spot you'll be glad you found.",4.7,(15),,,,,,,,,,11.1797964,119.3875932,
Discover El Nido,Tour Agency,"One of El Nido's most trusted tour planners - island hopping, transfers, and tips from people who actually live here.",4.7,(514),917 773 3404,https://wa.me/9177733404,https://instagram.com/discoverelnido,https://facebook.com/discoverelnido,Tour agency,0917 773 3404,http://www.discoverelnido.com/,,,11.1784599,119.3910923,
Vanilla Beach El Nido,Beachfront Lifestyle Hub,"A breezy beachside hangout blending dining, shopping, and chill seaside vibes - the social hub of Maremegmeg.",4.5,(365),25195679,https://wa.me/25195679,https://www.instagram.com/wix/,https://www.facebook.com/wix,,,http://vanillabeach.com.ph/,,,11.1469997,119.3969443,
Seatours Palawan,Tour Agency,"Highly rated boat tours run with safety, smiles, and the best snorkel stops in Bacuit Bay.",4.9,"(2,173)",909 594 1841,https://wa.me/9095941841,,,Tour agency,0909 594 1841,,,,11.170085,119.3946627,
Exoticloops Motorcycle Tours,Motorcycle Tour Operator,"Twist the throttle on guided motorbike loops through Palawan's hidden roads, waterfalls, and lookout points.",5.0,(42),915 974 1621,https://wa.me/9159741621,http://instagram.com/exoticloops,http://facebook.com/xoticloops,Tour operator,0915 974 1621,http://exoticloops.com/,,Laundry,11.1777978,119.3918233,
Bliss El Nido,Boat Tour Agency,"Boutique boat tours focused on small groups, quiet beaches, and that proper blissed-out island day.",5.0,(59),967 439 7222,https://wa.me/9674397222,,,Boat tour agency,0967 439 7222,https://tantulika27.wixsite.com/travel/19,,,11.1689729,119.3916429,
Las Cabanas Beach,Beach / Sunset Spot,"The undisputed sunset capital of El Nido - golden sand, beach bars, and that famous orange-pink sky show.",4.5,"(1,619)",,,,,,,,,,11.1448032,119.3944573,
Zalupa beach,Beach Bar,"An offbeat beach bar where flip-flops, cold drinks, and zero pretense are the dress code.",3.9,(9),,,,,,,,,Bar,11.168151,119.3957069,
Discover El Nido Paintball,Paintball Center,"Tropical paintball battles in the jungle - gear up, team up, and bring out your inner action movie hero.",4.1,(9),977 478 2484,https://wa.me/9774782484,,,Paintball center,0977 478 2484,,,,11.299591,119.428529,
Outpost Sunset Bar & Restaurant,Beach Bar & Restaurant,"Beachfront sundowners, woodfire pizzas, and that postcard sunset - the Outpost crowd at its laid-back best.",4.8,(50),969 241 4223,https://wa.me/9692414223,https://www.instagram.com/outposthostels/,https://www.facebook.com/outposthostels/,Restaurant,0969 241 4223,https://outposthostels.com/,,"Restaurant, Bar",11.1576176,119.3978823,
Tao Philippines,Tour Operator / Expedition,Legendary multi-day boat expeditions between El Nido and Coron - sleep on remote islands and live the slow-travel dream.,4.8,(437),908 890 8033,https://wa.me/9088908033,https://www.instagram.com/taoexperience/,,Tour operator,0908 890 8033,https://www.taophilippines.com/,,,11.1650348,119.3985356,
Palawan Divers,Diving Center,A long-running PADI dive shop with seasoned instructors and access to Bacuit Bay's healthiest reefs and walls.,4.9,(719),917 774 3210,https://wa.me/9177743210,,,Diving center,0917 774 3210,https://www.palawan-divers.org/,,Bar,11.1826046,119.3924247,
Nativ Exploration Palawan,Cruise Agency,Tailor-made private cruises through Palawan's wildest seascapes - bespoke island days for those who want it just-so.,4.6,(153),981 074 6701,https://wa.me/9810746701,https://www.instagram.com/nativ_exploration_palawan/,,Cruise agency,0981 074 6701,http://www.nativexploration.com/,,,11.1760855,119.3914911,
Go Paradise Travel and Tours (El Nido),Travel Agency,"A full-service travel desk handling tours, transfers, and trip logistics so you can focus on the fun part.",4.4,(176),,,,,,,http://www.goparadise.org/,,,11.1799144,119.3896229,
200 Bar Diving Center,Diving Center,"A diver-first shop with seriously rated guides, attentive briefings, and dive sites you'll be telling friends about for years.",5.0,"(1,563)",966 366 9873,https://wa.me/9663669873,https://www.instagram.com/200bar_diving_center/,https://www.facebook.com/200BarDivingCenter,Diving center,,https://200bardivingcenterelnido.com/,,Bar,11.181427,119.3915516,
El Nido Adventure Scuba Dive Center,Dive Shop,"Small-group scuba adventures from beginner discovery dives to advanced cert courses - personal, safe, and stoke-filled.",5.0,(86),995 303 7583,https://wa.me/9953037583,,,Dive shop,0995 303 7583,,,,11.1764651,119.3912882,
Seaborn - El Nido Freediving School,Freediving School,"Hold your breath, drop into the blue, and learn freediving with patient, world-class instructors.",4.9,(89),916 685 9606,https://wa.me/9166859606,https://www.instagram.com/elnidofreediving/,,Swimming school,0916 685 9606,http://www.elnidofreediving.com/,,Bar,11.1798386,119.3848295,
Aquanaut Dive Center,Diving Center,"An award-magnet dive shop known for warm vibes, sharp safety standards, and reef tours that hit every highlight.",4.8,(270),965 154 7804,https://wa.me/9651547804,https://www.instagram.com/aquanautelnido/,https://www.facebook.com/Aquanautelnido,Diving center,0965 154 7804,http://www.aquanautelnido.com/,,Bar,11.181535,119.39144,
Palawena Travel and Tours & Wellness Spa,Travel Agency & Wellness Spa,"Travel planning meets post-tour TLC - book the adventure, then unwind with a proper Filipino spa treatment.",4.9,(95),906 583 7929,https://wa.me/9065837929,,http://www.facebook.com/iampalawena,Tour operator,5313 Taytay,http://www.facebook.com/iampalawena,,Spa,11.1624292,119.3975599,
Sip Sunset Lounge & Bar,Cocktail Bar / Sunset Lounge,An elevated cocktail lounge with sweeping bay views - the grown-up way to do El Nido sunset.,4.8,"(2,212)",960 684 9112,https://wa.me/9606849112,https://www.instagram.com/sip_sunset_lounge_elnido/,,Cocktail bar,0960 684 9112,https://www.instagram.com/sip_sunset_lounge_elnido/,,Bar,11.1676379,119.3963299,
Namaste El Nido,Yoga & Massage Spa,"Drop-in yoga, deep-tissue massage, and a serenity garden that pulls you right out of travel mode.",4.9,(200),998 160 4700,https://wa.me/9981604700,,https://www.facebook.com/namasteelnido,Massage spa,0998 160 4700,https://www.facebook.com/namasteelnido,,Spa,11.1632586,119.3982548,
Entalula Beach,Beach / Island Stop,A picture-perfect crescent of white sand inside Bacuit Bay - a classic Tour A snorkel-and-lunch favorite.,4.7,(192),,,,,,,,,,11.1285761,119.3356429,
Hieroglyph Fitness El Nido,Gym / CrossFit,"Drop in for CrossFit and strength work on a tropical island - vacation cardio, but make it serious.",4.8,(741),968 860 8503,https://wa.me/9688608503,http://instagram.com/crossfithieroglyph,https://facebook.com/crossfithieroglyph,Gym,0968 860 8503,http://www.hieroglyphfitness.com/,,Gym,11.1470151,119.3986852,
Club Paradise Divers El Nido,Diving Center,A polished dive operation running small group dives and full PADI courses for every level.,5.0,(14),921 571 4943,https://wa.me/9215714943,,,Diving center,0921 571 4943,https://www.clubparadisedivers.com/,,,11.1469997,119.3969443,
Apetours travel and tours,Tour Operator,"Friendly all-in-one tour outfit covering El Nido, Coron, and everything between - book once, relax for the rest.",4.7,(198),998 272 8957,https://wa.me/9982728957,https://www.instagram.com/apetours.ph/,https://www.facebook.com/apetours.ph,Tour operator,0998 272 8957,http://www.apetours.ph/,,,11.1783424,119.3909581,
Turtle Divers,Diving Center,"Local-run dive shop loved for personalized briefings, small boats, and a real focus on reef-friendly diving.",4.9,(182),909 654 0829,https://wa.me/9096540829,http://instagram.com/turtledivers_elnido,https://www.facebook.com/turtlediverselnido,Diving center,0909 654 0829,http://www.turtle-divers.com/,,,11.1801054,119.3876267,
Bellitta Tours,Travel Agency,"A reliable on-the-ground travel desk for island hopping, transfers, and last-minute trip fixes.",4.6,(99),929 873 0283,https://wa.me/9298730283,,,Travel agency,0929 873 0283,,,,11.1778758,119.390337,
RMM KAYAK and Motor Rental,Kayak & Motorbike Rental,"One-stop rental shop for kayaks and motorbikes - explore by sea in the morning, by road in the afternoon.",5.0,(2),917 596 0121,https://wa.me/9175960121,,,Canoe & kayak rental service,0917 596 0121,,,,11.168547,119.3955272,
Neighbors and Nomads Coworking,Coworking Space / Beach Bar,"Laptops by day, sundowners by night - a coworking-meets-beach-bar hybrid built for digital nomads in paradise.",4.7,(14),956 566 7472,https://wa.me/9565667472,https://www.instagram.com/neighborsandnomads.elnido/,https://www.facebook.com/profile.php?id=61560475168628,Coworking space,5 Lio Beach,https://www.neighborsandnomads.com/,,"Restaurant, Bar",11.2077768,119.4164508,
Bar 147 by SPIN,Bar / Restaurant,"The buzzing hostel-bar everyone ends up at - pool, drinks, and instant friends from every corner of the world.",4.8,(268),917 625 7846,https://wa.me/9176257846,https://www.instagram.com/spinhostelph/,https://www.facebook.com/spinhostel/,Bar,4,https://spinhostel.com/,,"Pool, Restaurant, Bar",11.1802134,119.3927695,
Poseidon Tours and Expeditions,Tour Operator,Big-day-out boat tours and multi-day expeditions led by a crew that genuinely loves showing off their bay.,4.6,(60),969 453 5480,https://wa.me/9694535480,https://www.instagram.com/poseidonelnido/,https://www.facebook.com/poseidonelnido,Tour operator,0969 453 5480,http://www.poseidonelnido.com/,,,11.163322,119.3978119,
Deep Blue Dive Seafari,Diving Center,Liveaboard-style dive trips and day diving with experienced guides who know every coral pinnacle by name.,4.9,(178),961 081 0207,https://wa.me/9610810207,https://www.instagram.com/deepbluediveseafari/,https://www.facebook.com/elnidophilippines/,Diving center,0961 081 0207,http://www.deepbluediveseafari.com/,,,11.1801802,119.3884548,
Soledad de Amor,Event Venue / Garden,"A garden-set venue tucked off Rizal Street - pretty, peaceful, and great for celebrations or quiet evenings.",4.6,(293),915 391 2367,https://wa.me/9153912367,,,Corporate office,0915 391 2367,,,Garden,11.1780059,119.3902127,
Senorita Travels,Tour Operator,A polished tour shop that handles every detail of your El Nido itinerary with a personal touch.,4.8,(99),995 303 7583,https://wa.me/9953037583,https://www.instagram.com/senorita.travelss/,https://www.facebook.com/p/Se,Tour operator,0995 303 7583,https://senoritatravels.rezio.shop/en-US,,,11.1757913,119.3912996,
Lazy Hammock Cafe,Cafe,"Vanilla Beach's cozy little hangout for great coffee, easy bites, and yes - actual hammocks.",4.6,(259),998 467 6300,https://wa.me/9984676300,,,Cafe,22 Vanilla Beach,,,Restaurant,11.1467019,119.3983249,
The Funny Lion - El Nido,4-Star Hotel,"A playful, design-forward 4-star with rooftop pool views over El Nido town - boutique comfort with character.",4.7,(674),0289319999,https://wa.me/0289319999,https://www.instagram.com/thefunnylioncoron/,,4-star hotel,8931 9999,https://thefunnylion.com/el-nido-home,,"Free Wi-Fi, Free breakfast, Pool, Bar",11.1829821,119.3932366,
Yoga Retreats El Nido,Yoga Studio,"Sky-deck yoga sessions and full retreats with sweeping bay views - flow, breathe, repeat.",5.0,(46),995 253 0391,https://wa.me/9952530391,https://www.instagram.com/reels/,,Yoga studio,0995 253 0391,https://instagram.com/yogaretreatselnido,,Pool,11.1556973,119.3985663,
We Are Juan,Travel Agency,"Modern boutique travel outfit blending island tours, transfers, and spa-style downtime - Filipino hospitality, polished.",4.6,(212),995 662 5400,https://wa.me/9956625400,https://www.instagram.com/wearejuan_elnido/,https://www.facebook.com/wearejuanelnido,Travel agency,0995 662 5400,https://www.wearejuanexpedition.com/,,Spa,11.1633471,119.3983774,
Seven Commandos Beach,Beach / Island Stop,A wide white sand beach with beach bars and swing chairs - a classic Tour A lunch stop or kayak day-trip.,4.6,(713),,,,,,,,,Bar,11.1736705,119.378839,
El Nido Resorts - Miniloc Island,5-Star Island Resort,"An iconic eco-luxury island resort tucked inside Bacuit Bay - house reef, water cottages, true bucket-list stay.",4.9,(165),,,,,,,,,,11.1494458,119.3201341,
Entalula Beach Club,Beach Club,"Private island beach club from El Nido Resorts - pristine sand, full service, and that exclusive-feel day-trip vibe.",4.5,(15),,,,,Public beach,,http://www.elnidoresorts.com/miniloc-island/,,"Restaurant, Bar",11.1273588,119.3356957,
Submariner Diving Center,Diving Center,"A diver favorite with stellar reviews, sharp guides, and a deep little dive bar that's a story in itself.",4.9,(882),962 259 3215,https://wa.me/9622593215,https://www.instagram.com/submarinerdivingcenter/,https://www.facebook.com/SubmarinerDivingCenter,Diving center,0962 259 3215,http://www.submarinerdiving.com/,,"Bar, Garden",11.1811662,119.3909735,
El Nido Yachting Club,Boat Tour Agency,"Yacht-style boat tours, sunset cruises, and private charters for those who want the bay in style.",4.5,(59),917 877 7869,https://wa.me/9178777869,https://www.instagram.com/elnidoyachtingclub/,,Boat tour agency,0917 877 7869,http://www.elnidoyachtingclub.com/,,,11.1803464,119.3894948,
The Couch El Nido Travel and Tours,Travel Agency,"An easy, top-rated travel desk - they'll plan it, you'll show up, and everything just works.",5.0,(547),995 150 8411,https://wa.me/9951508411,,,Travel agency,0995 150 8411,,,,11.1723447,119.3943427,
Miniloc El Nido,4-Star Island Resort,Serene island resort wrapped around a cove with its own dive center - quietly one of Palawan's most loved stays.,4.8,(907),917 584 1576,https://wa.me/9175841576,,,4-star hotel,0917 584 1576,https://ayalalandhospitality.com/en/el-nido/hotels/miniloc-el-nido,,"Free Wi-Fi, Pool, Spa, Beachfront",11.1495968,119.3202819,
Amigos Hostel El Nido,Hostel,"Sociable budget hostel in the heart of town - easy to meet people, easy on the wallet.",4.4,(17),917 144 3799,https://wa.me/9171443799,,,Hostel,0917 144 3799,,,,11.1784669,119.3907974,
Yoga Spa and Wellness at Happiness El Nido,Wellness Center,"Yoga, massages, and pool-side recovery built into a beach resort - the antidote to a long tour day.",4.7,(25),919 595 8771,https://wa.me/9195958771,https://www.instagram.com/happinessphboracay/,,Wellness center,0919 595 8771,https://www.happinessphilippines.com/,,"Pool, Spa",11.1561366,119.3990217,
Tabanka Divers,Diving Center,"Beachfront dive shop next to Outpost - perfectly rated, super friendly, with dives for every skill level.",5.0,(297),905 225 3464,https://wa.me/9052253464,https://www.instagram.com/tabankadivers,https://www.facebook.com/TabankaDivers/,Diving center,0905 225 3464,https://www.tabanka-divers.com/,,Beachfront,11.1574883,119.3978846,
The Range - Shooting Gallery,Shooting Range,An off-the-beaten-path shooting gallery for travelers craving something other than another snorkel day.,5.0,(8),966 366 7216,https://wa.me/9663667216,,,Shooting range,0966 366 7216,,,Bar,11.1807899,119.3903538,
Marimegmeg Beach,Beach / Sunset Spot,Golden-sand beach lined with bars and a zipline - the prime spot for that iconic El Nido sunset.,4.5,(380),,,,,Beach,2 minutes,,,,11.1467733,119.3967543,
Nes Expedition Travel & Tours Agency,Tour Operator,Local tour operator running solid island hopping plus custom land tours at fair prices.,4.6,(118),981 398 0443,https://wa.me/9813980443,https://www.instagram.com/nesexpedition,https://www.facebook.com/nesexpeditions,Tour operator,0981 398 0443,https://nesexpedition.com/,,,11.1794351,119.387772,
Outpost Beach Hostel,Beachfront Hostel,Beachfront 2-star hostel with terrace dining and a famously social atmosphere - backpacker HQ on Lugadia Beach.,4.5,(634),969 241 4223,https://wa.me/9692414223,https://www.instagram.com/outposthostels/,https://www.facebook.com/outposthostels/,2-star hotel,0969 241 4223,https://outposthostels.com/,,"Pool, Beachfront",11.1574869,119.3979511,
Elbyahe's Travel and Tours,Boat Tour Agency,Small-team boat tour outfit that punches well above its size on hospitality and itinerary tweaks.,4.9,(146),947 617 3708,https://wa.me/9476173708,,,Boat tour agency,0947 617 3708,https://www.elbyahestravelandtours.com/,,,11.1616204,119.3983926,
Corong Corong Beach,Beach / Sunset Spot,"A long, laid-back stretch of beach south of town - sunsets, beach bars, and far fewer crowds than the main strip.",3.7,(360),,,,,,,,,,11.1698884,119.3927179,
Pugad Hostel El Nido Palawan,Hostel,"A garden-fronted budget stay close to town - clean, simple, and surprisingly peaceful.",4.6,(49),909 623 8053,https://wa.me/9096238053,,,Hostel,0909 623 8053,,,Garden,11.1783904,119.3917631,
Home Gym,Gym,"A no-frills local gym for keeping your routine alive while traveling - weights, basics, friendly faces.",5.0,(170),,,,https://www.facebook.com/thehomegym.ph/,Gym,,https://www.facebook.com/thehomegym.ph/,,Gym,11.156221,119.40635,
El Nido Municipal Covered Court,Public Sports Court,"The town's main covered court - pickup basketball, local events, and a slice of everyday El Nido life.",5.0,(4),,,,,,,,,Gym,11.1795537,119.3904538,
El Nido COCO RESORT,3-Star Hotel,"Beachside hotel with thatched cottages, a pool, and that classic Filipino-island-resort feel.",4.2,(434),919 587 7569,https://wa.me/9195877569,,,3-star hotel,0919 587 7569,http://www.coco-resort.com/,,"Pool, Beachfront, Garden",11.1654552,119.3978124,
SIP Sunset Hostel and Lounge,Hostel,"Beachfront hostel with a buzzing sunset lounge attached - sleep, drink, sunset, repeat.",4.0,(93),908 714 1456,https://wa.me/9087141456,,,Hostel,0908 714 1456,https://sipsunsethostelandlounge.com/,,"Pool, Beachfront",11.1676625,119.3963986,
Frangipani El Nido,4-Star Hotel,Informal beachfront hotel with a pool and easy access to all of El Nido's best - comfort without the fuss.,4.2,(181),968 343 7777,https://wa.me/9683437777,https://www.instagram.com/frangipani.elnido/,https://www.facebook.com/frangipanielnido/,4-star hotel,0968 343 7777,http://frangipanielnido.com/,,"Pool, Restaurant, Bar, Beachfront",11.1588087,119.3979657,
Spin Designer Hostel,Hostel,Casual designer hostel with a rooftop deck and BBQs - Spin is where the social travelers land.,4.5,(636),917 625 7846,https://wa.me/9176257846,https://www.instagram.com/spinhostelph/,https://www.facebook.com/spinhostel/,2-star hotel,0917 625 7846,https://www.spinhostel.com/,,"Pool",11.1802154,119.3927521,
Pangulasian El Nido,5-Star Beach Resort,"Beachfront luxury with a full spa, pristine sand, and palm-shaded pool decks - the splurge that earns it.",4.7,(732),917 584 1576,https://wa.me/9175841576,,,5-star hotel,0917 584 1576,https://ayalalandhospitality.com/en/el-nido/hotels/pangulasian-el-nido,,"Pool, Beachfront",11.1131545,119.3357393,
Lovelyn Travel And Tours,Tour Operator,"Warm, attentive tour planning with a beachfront base - small operator, big on hospitality.",4.9,(68),949 172 0549,https://wa.me/9491720549,https://www.instagram.com/lovelyn_tours/,https://www.facebook.com/lovelyntravelandtours,Tour operator,,https://lovelyntravelandtours.com/,,"Spa, Beachfront",11.1635852,119.3986968,
Philguru Travel & Tours,Travel Agency,"A local travel desk happy to handle tours, transfers, and the in-between logistics with a smile.",5.0,(5),947 386 7124,https://wa.me/9473867124,,,Travel agency,0947 386 7124,,,,11.1810346,119.3908585,
Kuya Cris Travel and Tours,Travel Agency,"Honest, friendly, well-priced travel planning from a Rizal Street operator that locals quietly recommend.",4.8,(175),916 668 2959,https://wa.me/9166682959,,,Travel agency,0916 668 2959,http://www.kuyacris-tours.com/,,,11.1782738,119.389877,
Big Paul Hostel - El Nido,Hostel,Beachfront budget stay with a pool and kid-friendly setup - easy choice for families and value-hunters.,4.0,(95),939 881 0672,https://wa.me/9398810672,,,2-star hotel,0939 881 0672,,,"Pool, Beachfront",11.1637983,119.3984391,
Happiness Hostel,Hostel,"A cheerful 2-star hostel with a pool, bar, and breakfast - the name is half the marketing pitch.",4.7,(258),916 264 5952,https://wa.me/9162645952,https://www.instagram.com/happinessphboracay/,,2-star hotel,0916 264 5952,https://happinessphilippines.com/,,"Pool, Bar",11.1802241,119.3883027,
Sommer's Hill,Bed & Breakfast / Hilltop Stay,"A peaceful hilltop perch with breakfast and a small gym - quiet mornings, big views.",4.3,(34),,,,,,,,,"Breakfast, Gym",11.1557141,119.4066606,
Estranghero Tours & Motorbike Rental & Laundry,Travel Agency / Bike Rental,"Tours, motorbike rentals, and laundry under one roof - the practical El Nido swiss-army stop.",4.8,(190),955 930 3836,https://wa.me/9559303836,,,Travel agency,0955 930 3836,,,Laundry,11.1805933,119.3923795,
Maremegmeg Beach Club,4-Star Hotel / Beach Club,Beachfront 4-star with a stylish pool deck and direct sand access - a polished base on Maremegmeg.,4.6,(480),999 724 3965,https://wa.me/9997243965,https://www.instagram.com/maremegmegbeachclub/,https://www.facebook.com/maremegmegbeachclub,4-star hotel,0999 724 3965,https://mbcelnido.com/,,"Pool, Beachfront",11.1461418,119.3965029,
Spider Travel and Tours,Travel Agency,"Reliable mid-range travel desk for tours, transfers, and trip planning along Rizal Street.",4.2,(149),949 885 6501,https://wa.me/9498856501,,,Travel agency,0949 885 6501,,,,11.1812113,119.3912548,
Jhannas travel and tours,Travel Agency,"Friendly, no-frills local agency for booking your tours and getting on the boat without the headache.",4.0,(72),998 886 6540,https://wa.me/9988866540,,,Travel agency,0998 886 6540,,,,11.1801972,119.387347,
Beachfront travel and tours,Travel Agency,"A central agency on the beachfront strip handling tours, packages, and last-minute travel fixes.",3.8,(41),908 481 1602,https://wa.me/9084811602,,https://www.facebook.com/beachfronttravelandtour,Travel agency,0908 481 1602,https://beachfronttravelandtours.com/,,Beachfront,11.1633874,119.398163,
H Hospitality Travel & Tours,Tour Agency,Highly rated boutique travel agency on Rizal Street with a hospitality-first approach to every booking.,4.9,(215),917 114 8776,https://wa.me/9171148776,https://www.instagram.com/htt.elnido,https://www.facebook.com/share/1LBLFQF1GZ/,Tour agency,1028 Rizal St,https://hhospitality.tours/,,,11.1799816,119.389454,
Matinloc Island,Island / Natural Attraction,"A dramatic karst island and Tour C highlight - secret beaches, sharp cliffs, and the famous Matinloc Shrine.",4.4,(57),,,,,,,,,Restaurant,11.1792443,119.2829211,
Lime Resort El Nido,3-Star Resort,Beachfront 3-star with a pool and that easy-going island holiday vibe - solid base for tour days.,3.7,(973),968 688 5364,https://wa.me/9686885364,,,3-star hotel,0968 688 5364,http://www.lime.ph/,,"Pool, Bar, Beachfront",11.1556814,119.3983672,
RedDoorz @ Tandikan Beach Cottages,Hotel,"Budget-friendly beach cottages from the RedDoorz network - simple, clean, and walkable to town.",3.9,(42),0282487369,https://wa.me/0282487369,https://www.instagram.com/reddoorzph/,https://www.facebook.com/reddoorzph/,Hotel,8248 7369,https://www.reddoorz.com/,,,11.1821185,119.3919218,
Ranmarc Dive Shop and Services,Diving Center,"Small, personable dive shop with attentive guides and a focus on quality time underwater.",4.7,(28),998 961 3864,https://wa.me/9989613864,,,Diving center,0998 961 3864,,,,11.1802229,119.3883732,
El Nido Moringa Resort,3-Star Resort,"Beachfront 3-star with a pool, restaurant, and accessible setup - easy comfort in a great location.",4.4,(341),999 537 3006,https://wa.me/9995373006,,,3-star hotel,0999 537 3006,https://elnido-hotels.com/,,"Pool, Restaurant, Beachfront",11.1647844,119.3983761,
Lio Wetlands,Nature Reserve,"A protected mangrove and wetland habitat in Lio - birdwatching, boardwalks, and a quieter side of El Nido.",4.6,(8),,,,,,,,,,11.2116821,119.4206327,
Isla - The Isla Experience,Hotel,An island stay built around the experience - boutique-feel rooms and personalized service.,4.5,(201),929 330 4511,https://wa.me/9293304511,https://www.instagram.com/islaexperience/,,Hotel,0929 330 4511,http://www.islaexperience.com/,,"Bar",11.3660697,119.525724,
El Nido Mahogany Beach Resort,3-Star Resort,Laid-back beach resort with a pool bar and the classic flip-flops-all-day energy.,4.5,(446),919 951 7930,https://wa.me/9199517930,https://www.instagram.com/elnido_mahoganybeachresort/,https://www.facebook.com/elnidomahogany,3-star hotel,0919 951 7930,http://www.elnido-mahogany.com/,,"Pool, Beachfront",11.1649956,119.3976619,
